Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Included / International,Price / International,Compare At Price / International,Status
bean-bag-chair-giant-high-density-foam-filling-sofa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/71es-Y3hoML._AC_SL1500__1.jpg?v=1695529992,7,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-giant-high-density-foam-filling-sofa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/71MVodjkanL._AC_SL1500.jpg?v=1695529992,8,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-giant-high-density-foam-filling-sofa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/71b11fM_VBL._AC_SL1500.jpg?v=1695529992,9,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-giant-high-density-foam-filling-sofa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/71ue2ikzutL._AC_SL1500.jpg?v=1695529992,10,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-giant-high-density-foam-filling-sofa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/71oVpAhiIwL._AC_SL1500__1_01d67760-9489-491b-bdd8-c28a58d9ffab.jpg?v=1695529992,11,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-giant-high-density-foam-filling-sofa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/61Pa0lSqA6L._AC_SL1500__1_8a378249-da58-4a7b-9aac-e44455d4357c.jpg?v=1695529992,12,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-giant-high-density-foam-filling-sofa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/71-mu6EK19L._AC_SL1500.jpg?v=1695529992,13,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-giant-high-density-foam-filling-sofa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/71ILd_Ji51L._AC_SL1500.jpg?v=1695529992,14,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-giant-high-density-foam-filling-sofa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/712PFKJ-iVL._AC_SL1500.jpg?v=1695529992,15,,,,,,,,,,,,,,,,,,,,,,,,
bean-bag-chair-giant-high-density-foam-filling-sofa,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0835/0508/6764/products/71oVpAhiIwL._AC_SL1500__2.jpg?v=1695529992,16,,,,,,,,,,,,,,,,,,,,,,,,
